STATE,SYM_P1,SYM_P2,SYM_SEMICOLON,IDENTIFIER,OP_ASSGN,SYM_SB1,SYM_SB2,KEYWD_IF,SYM_B1,SYM_B2,KEYWD_ELSE,KEYWD_ELIF,KEYWD_FOR,KEYWD_IN,OP_COMMA,KEYWD_WHILE,KEYWD_DO,KEYWD_RETURN,KEYWD_BREAK,KEYWD_CONTINUE,KEYWD_SELECT,KEYWD_CASE,OP_TERN1,KEYWD_DEFAULT,KEYWD_DEF,OP_FUNC,KEYWD_INT,KEYWD_FLOAT,KEYWD_CHAR,KEYWD_BOOL,KEYWD_VOID,KEYWD_STRING,INT_LIT,FLOAT_LITERAL,CHAR_LIT,STR_LIT,KEYWD_TRUE,KEYWD_FALSE,OP_AR_add,OP_AR_sub,OP_AR_mul,OP_AR_div,OP_AR_mod,OP_REL_gt,OP_REL_ge,OP_REL_lt,OP_REL_le,OP_REL_eq,OP_REL_neq,OP_LOG_and,OP_LOG_or,OP_LOG_not,OP_BIT_and,OP_BIT_or,OP_BIT_ls,OP_BIT_rs,OP_BIT_xor,OP_ASSGN1,OP_ASSGN2,OP_ASSGN3,OP_ASSGN4,OP_ASSGN5,OP_ASSGN6,OP_ASSGN7,OP_ASSGN8,OP_INCR,OP_DECR,OP_BIT4,$
57,r74,,,r74,,,,,r74,,,,,,,,,,,,,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,,,,,,,,,,,,,,,,,,,,,,,,,,r74,r74,r74,
58,r75,,,r75,,,,,r75,,,,,,,,,,,,,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,,,,,,,,,,,,,,,,,,r75,r75,r75,
59,r76,,,r76,,,,,r76,,,,,,,,,,,,,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,,,,,,,,,,,,,,,,,,,,,,,,,,r76,r76,r76,
60,r77,,,r77,,,,,r77,,,,,,,,,,,,,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,,,,,,,,,,,,,,,,,,,,,,,,,,r77,r77,r77,
61,r78,,,r78,,,,,r78,,,,,,,,,,,,,,,,,,,,,,,,r78,r78,r78,r78,r78,r78,r78,r78,,,,,,,,,,,,,,,,,,,,,,,,,,r78,r78,r78,
62,r79,,,r79,,,,,r79,,,,,,,,,,,,,,,,,,,,,,,,r79,r79,r79,r79,r79,r79,r79,r79,,,,,,,,,,,,,,,,,,,,,,,,,,r79,r79,r79,
63,r80,,,r80,,,,,r80,,,,,,,,,,,,,,,,,,,,,,,,r80,r80,r80,r80,r80,r80,r80,r80,,,,,,,,,,,,,,,,,,,,,,,,,,r80,r80,r80,
64,r81,,,r81,,,,,r81,,,,,,,,,,,,,,,,,,,,,,,,r81,r81,r81,r81,r81,r81,r81,r81,,,,,,,,,,,,,,,,,,,,,,,,,,r81,r81,r81,
65,r82,,,r82,,,,,r82,,,,,,,,,,,,,,,,,,,,,,,,r82,r82,r82,r82,r82,r82,r82,r82,,,,,,,,,,,,,,,,,,,,,,,,,,r82,r82,r82,
66,r83,,,r83,,,,,r83,,,,,,,,,,,,,,,,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,,,,,,,,,,,,,,,,,,,,,,,,,,r83,r83,r83,
67,r84,,,r84,,,,,r84,,,,,,,,,,,,,,,,,,,,,,,,r84,r84,r84,r84,r84,r84,r84,r84,,,,,,,,,,,,,,,,,,,,,,,,,,r84,r84,r84,
68,r85,,,r85,,,,,r85,,,,,,,,,,,,,,,,,,,,,,,,r85,r85,r85,r85,r85,r85,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,r85,r85,r85,
69,r86,,,r86,,,,,r86,,,,,,,,,,,,,,,,,,,,,,,,r86,r86,r86,r86,r86,r86,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,r86,r86,r86,
70,r87,,,r87,,,,,r87,,,,,,,,,,,,,,,,,,,,,,,,r87,r87,r87,r87,r87,r87,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,r87,r87,r87,
71,r88,,,r88,,,,,r88,,,,,,,,,,,,,,,,,,,,,,,,r88,r88,r88,r88,r88,r88,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,r88,r88,r88,
72,r89,,,r89,,,,,r89,,,,,,,,,,,,,,,,,,,,,,,,r89,r89,r89,r89,r89,r89,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,,r89,r89,r89,
73,r90,,,r90,,,,,r90,,,,,,,,,,,,,,,,,,,,,,,,r90,r90,r90,r90,r90,r90,r90,r90,,,,,,,,,,,,,,,,,,,,,,,,,,r90,r90,r90,
74,r91,,,r91,,,,,r91,,,,,,,,,,,,,,,,,,,,,,,,r91,r91,r91,r91,r91,r91,r91,r91,,,,,,,,,,,,,,,,,,,,,,,,,,r91,r91,r91,
75,r92,,,r92,,,,,r92,,,,,,,,,,,,,,,,,,,,,,,,r92,r92,r92,r92,r92,r92,r92,r92,,,,,,,,,,,,,,,,,,,,,,,,,,r92,r92,r92,
76,,,,,,,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,r42,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,r60,r60,,,,r60,,,r60,,,,,r60,,,,,,,,r60,,,,,,,,,,,,,,,,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,,,,,,,,,,,,
80,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,r38,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,s89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,r39,r39,,,,r39,,,r39,,,,,r39,,,,,,,,r39,,,,,,,,,,,,,,,,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,,
85,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,
86,,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
